id,full_name,owner,repo_name,html_url,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,watchers_count,has_issues,archived,disabled,fork,num_contributors,sbom_flag,exclusion_reason,num_commits,num_buggy_commits,lifetime_days,num_languages,num_stars,main_language,num_files,num_methods,num_buggy_files,num_buggy_methods,num_bugs
209,apache#stormcrawler,apache,stormcrawler,https://github.com/apache/stormcrawler,2013-04-12T14:13:30Z,2025-06-02T12:51:41Z,2025-06-02T07:21:41Z,23236,Java,264,909,909,True,False,False,False,49,True,,2227,962,4433,2,909,Java,237,1635,900,1412,0
210,apache#calcite-avatica,apache,calcite-avatica,https://github.com/apache/calcite-avatica,2017-03-22T07:00:06Z,2025-03-31T22:13:18Z,2025-03-12T20:04:06Z,42935,Java,233,259,259,False,False,False,False,137,True,,2856,1311,4709,4,259,Java,310,28173,4080,24373,0
211,apache#dubbo-hessian-lite,apache,dubbo-hessian-lite,https://github.com/apache/dubbo-hessian-lite,2018-06-04T09:47:14Z,2025-05-31T12:05:49Z,2025-02-28T17:30:26Z,28803,Java,48,59,59,True,False,False,False,89,True,,2526,1279,4880,1,59,Java,333,11154,3109,9834,0
212,apache#yunikorn-k8shim,apache,yunikorn-k8shim,https://github.com/apache/yunikorn-k8shim,2019-06-13T15:24:21Z,2025-05-23T14:00:25Z,2025-05-23T14:00:14Z,38780,Go,145,156,156,False,False,False,False,63,True,,978,853,2262,2,156,Go,174,30006,570,1879,0
213,apache#iceberg-python,apache,iceberg-python,https://github.com/apache/iceberg-python,2023-08-11T06:07:31Z,2025-06-01T20:50:53Z,2025-06-01T20:50:49Z,160602,Python,297,755,755,True,False,False,False,167,True,,1829,1818,2272,3,755,Python,165,5209,519,5209,0
214,apache#camel-quarkus,apache,camel-quarkus,https://github.com/apache/camel-quarkus,2019-06-21T08:55:25Z,2025-06-02T06:32:55Z,2025-06-02T13:20:10Z,156664,Java,207,266,266,True,False,False,False,80,True,,6556,2524,2293,5,266,Java,3285,15504,10474,12479,0
215,apache#commons-vfs,apache,commons-vfs,https://github.com/apache/commons-vfs,2013-07-13T07:00:13Z,2025-05-29T02:56:37Z,2025-05-25T19:43:49Z,37713,Java,209,243,243,False,False,False,False,55,True,,4401,1240,8360,1,243,Java,590,5330,1309,4261,856
216,apache#incubator-graphar,apache,incubator-graphar,https://github.com/apache/incubator-graphar,2022-09-23T14:30:07Z,2025-06-02T10:34:14Z,2025-05-29T01:46:19Z,33474,C++,69,277,277,True,False,False,False,22,True,,343,339,911,4,277,C++,247,2216,1069,2206,0
217,apache#incubator-pegasus,apache,incubator-pegasus,https://github.com/apache/incubator-pegasus,2015-09-01T02:29:37Z,2025-05-31T07:27:28Z,2025-05-29T03:11:00Z,223834,C++,314,2010,2010,True,False,False,False,63,True,,5902,2877,3736,7,2010,C++,923,39439,7224,16930,11
218,apache#openwebbeans,apache,openwebbeans,https://github.com/apache/openwebbeans,2011-01-28T08:00:11Z,2025-05-14T09:51:14Z,2025-05-17T12:49:57Z,83865,Java,62,69,69,False,False,False,False,25,True,,4244,2448,6016,1,69,Java,1564,10590,3467,10050,340
219,apache#commons-compress,apache,commons-compress,https://github.com/apache/commons-compress,2011-10-15T07:00:08Z,2025-06-02T14:16:52Z,2025-06-02T14:16:48Z,75049,Java,294,364,364,False,False,False,False,93,True,,5937,1655,7865,1,364,Java,641,9580,883,7106,697
220,apache#camel-quarkus-examples,apache,camel-quarkus-examples,https://github.com/apache/camel-quarkus-examples,2020-09-09T11:16:22Z,2025-05-21T05:58:45Z,2025-05-20T14:26:03Z,4040,Java,126,88,88,False,False,False,False,19,True,,500,51,1718,3,88,Java,138,283,182,101,0
221,apache#pulsar-client-node,apache,pulsar-client-node,https://github.com/apache/pulsar-client-node,2019-03-01T12:35:51Z,2025-06-01T20:24:25Z,2025-05-30T01:38:29Z,5205,C++,91,157,157,True,False,False,False,37,True,,259,216,2277,4,157,JavaScript,50,273,123,269,0
